000.rules/020.binding/0000201_PERSONA_OS_ROOT_FILE_RULE.md | same_dir_file | missing_file | 000000_PERSONA_OS_CANONICAL_FULL.md | 000.rules/020.binding/000000_PERSONA_OS_CANONICAL_FULL.md
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/010.core/010.constitution/ | 010.constitution/010.core/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/020.identity/010.constitution/ | 010.constitution/020.identity/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/030.state/010.constitution/ | 010.constitution/030.state/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/040.memory/010.constitution/ | 010.constitution/040.memory/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/050.growth/010.constitution/ | 010.constitution/050.growth/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/060.builder/010.constitution/ | 010.constitution/060.builder/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/070.visual/010.constitution/ | 010.constitution/070.visual/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/080.runtime_hosting/010.constitution/ | 010.constitution/080.runtime_hosting/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/090.snapshot/010.constitution/ | 010.constitution/090.snapshot/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/100.package/010.constitution/ | 010.constitution/100.package/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/100.security/ | 010.constitution/100.security
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/110.distribution/010.constitution/ | 010.constitution/110.distribution/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/120.external_rights/010.constitution/ | 010.constitution/120.external_rights/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/130.access_license_transfer/010.constitution/ | 010.constitution/130.access_license_transfer/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/170.operations-support/ | 010.constitution/170.operations-support
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/050.growth/020.architecture/ | 020.architecture/050.growth/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/060.builder/020.architecture/ | 020.architecture/060.builder/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/070.visual/020.architecture/ | 020.architecture/070.visual/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/080.runtime_hosting/020.architecture/ | 020.architecture/080.runtime_hosting/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/090.snapshot/020.architecture/ | 020.architecture/090.snapshot/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/100.package/020.architecture/ | 020.architecture/100.package/020.architecture
